id,date,variable,value
559,6/3/2019,GOOG,1066.040039
560,6/10/2019,GOOG,1085.349976
561,6/17/2019,GOOG,1121.880005
562,6/24/2019,GOOG,1080.910034
563,7/1/2019,GOOG,1131.589966
564,7/8/2019,GOOG,1144.900024
565,7/15/2019,GOOG,1130.099976
566,7/22/2019,GOOG,1250.410034
567,7/29/2019,GOOG,1193.98999
568,8/5/2019,GOOG,1188.01001
569,8/12/2019,GOOG,1177.599976
570,8/19/2019,GOOG,1151.290039
571,8/26/2019,GOOG,1188.099976
572,9/2/2019,GOOG,1204.930054
573,9/9/2019,GOOG,1239.560059
574,9/16/2019,GOOG,1229.930054
575,9/23/2019,GOOG,1225.089966
576,9/30/2019,GOOG,1209
577,10/7/2019,GOOG,1215.449951
578,10/14/2019,GOOG,1245.48999
579,10/21/2019,GOOG,1265.130005
580,10/28/2019,GOOG,1273.73999
581,11/4/2019,GOOG,1311.369995
582,11/11/2019,GOOG,1334.869995
583,11/18/2019,GOOG,1295.339966
584,11/25/2019,GOOG,1304.959961
585,12/2/2019,GOOG,1340.619995
586,12/9/2019,GOOG,1347.829956
587,12/16/2019,GOOG,1349.589966
588,12/23/2019,GOOG,1351.890015
589,12/30/2019,GOOG,1360.660034
590,1/6/2020,GOOG,1429.72998
591,1/13/2020,GOOG,1480.390015
592,1/20/2020,GOOG,1466.709961
593,1/27/2020,GOOG,1434.22998
594,2/3/2020,GOOG,1479.22998
595,2/10/2020,GOOG,1520.73999
596,2/17/2020,GOOG,1485.109985
597,2/24/2020,GOOG,1339.329956
598,3/2/2020,GOOG,1298.410034
599,3/9/2020,GOOG,1219.72998
600,3/16/2020,GOOG,1072.319946
601,3/23/2020,GOOG,1110.709961
602,3/30/2020,GOOG,1097.880005
603,4/6/2020,GOOG,1211.449951
604,4/13/2020,GOOG,1283.25
605,4/20/2020,GOOG,1279.310059
606,4/27/2020,GOOG,1320.609985
607,5/4/2020,GOOG,1388.369995
608,5/11/2020,GOOG,1373.189941
609,5/18/2020,GOOG,1410.420044
610,5/25/2020,GOOG,1428.920044
611,6/1/2020,GOOG,1438.390015
612,6/8/2020,GOOG,1413.180054
613,6/15/2020,GOOG,1431.719971
614,6/22/2020,GOOG,1359.900024
615,6/29/2020,GOOG,1464.699951
616,7/6/2020,GOOG,1541.73999
617,7/13/2020,GOOG,1515.550049
618,7/20/2020,GOOG,1511.869995
619,7/27/2020,GOOG,1482.959961
620,8/3/2020,GOOG,1494.48999
621,8/10/2020,GOOG,1507.72998
622,8/17/2020,GOOG,1580.420044
623,8/24/2020,GOOG,1644.410034
624,8/31/2020,GOOG,1591.040039
625,9/7/2020,GOOG,1532.390015
626,9/15/2014,FB,77.910004
627,9/22/2014,FB,78.790001
628,9/29/2014,FB,77.440002
629,10/6/2014,FB,72.910004
630,10/13/2014,FB,75.949997
631,10/20/2014,FB,80.669998
632,10/27/2014,FB,74.989998
633,11/3/2014,FB,75.599998
634,11/10/2014,FB,74.879997
635,11/17/2014,FB,73.75
636,11/24/2014,FB,77.699997
637,12/1/2014,FB,76.360001
638,12/8/2014,FB,77.830002
639,12/15/2014,FB,79.879997
640,12/22/2014,FB,80.779999
641,12/29/2014,FB,78.449997
642,1/5/2015,FB,77.739998
643,1/12/2015,FB,75.18
644,1/19/2015,FB,77.830002
645,1/26/2015,FB,75.910004
646,2/2/2015,FB,74.470001
647,2/9/2015,FB,75.739998
648,2/16/2015,FB,79.900002
649,2/23/2015,FB,78.970001
650,3/2/2015,FB,80.010002
651,3/9/2015,FB,78.050003
652,3/16/2015,FB,83.800003
653,3/23/2015,FB,83.300003
654,3/30/2015,FB,81.559998
655,4/6/2015,FB,82.040001
656,4/13/2015,FB,80.779999
657,4/20/2015,FB,81.529999
658,4/27/2015,FB,78.989998
659,5/4/2015,FB,78.510002
660,5/11/2015,FB,80.419998
661,5/18/2015,FB,80.540001
662,5/25/2015,FB,79.190002
663,6/1/2015,FB,82.139999
664,6/8/2015,FB,81.529999
665,6/15/2015,FB,82.510002
666,6/22/2015,FB,88.010002
667,6/29/2015,FB,87.290001
668,7/6/2015,FB,87.949997
669,7/13/2015,FB,94.970001
670,7/20/2015,FB,96.949997
671,7/27/2015,FB,94.010002
672,8/3/2015,FB,94.300003
673,8/10/2015,FB,94.419998
674,8/17/2015,FB,86.059998
675,8/24/2015,FB,91.010002
676,8/31/2015,FB,88.260002
677,9/7/2015,FB,92.050003
678,9/14/2015,FB,94.400002
679,9/21/2015,FB,92.769997
680,9/28/2015,FB,92.07
681,10/5/2015,FB,93.239998
682,10/12/2015,FB,97.540001
683,10/19/2015,FB,102.190002
684,10/26/2015,FB,101.970001
685,11/2/2015,FB,107.099998
686,11/9/2015,FB,103.949997
687,11/16/2015,FB,107.32
688,11/23/2015,FB,105.449997
689,11/30/2015,FB,106.18
690,12/7/2015,FB,102.120003
691,12/14/2015,FB,104.040001
692,12/21/2015,FB,105.019997
693,12/28/2015,FB,104.660004
694,1/4/2016,FB,97.330002
695,1/11/2016,FB,94.970001
696,1/18/2016,FB,97.940002
697,1/25/2016,FB,112.209999
698,2/1/2016,FB,104.07
699,2/8/2016,FB,102.010002
700,2/15/2016,FB,104.57
701,2/22/2016,FB,107.919998
702,2/29/2016,FB,108.389999
703,3/7/2016,FB,109.410004
704,3/14/2016,FB,111.449997
705,3/21/2016,FB,113.050003
706,3/28/2016,FB,116.059998
707,4/4/2016,FB,110.629997
708,4/11/2016,FB,109.639999
709,4/18/2016,FB,110.559998
710,4/25/2016,FB,117.580002
711,5/2/2016,FB,119.489998
712,5/9/2016,FB,119.809998
713,5/16/2016,FB,117.349998
714,5/23/2016,FB,119.379997
715,5/30/2016,FB,118.470001
716,6/6/2016,FB,116.620003
717,6/13/2016,FB,113.019997
718,6/20/2016,FB,112.080002
719,6/27/2016,FB,114.190002
720,7/4/2016,FB,117.239998
721,7/11/2016,FB,116.860001
722,7/18/2016,FB,121
723,7/25/2016,FB,123.940002
724,8/1/2016,FB,125.150002
725,8/8/2016,FB,124.879997
726,8/15/2016,FB,123.559998
727,8/22/2016,FB,124.959999
728,8/29/2016,FB,126.510002
729,9/5/2016,FB,127.099998
730,9/12/2016,FB,129.070007
731,9/19/2016,FB,127.959999
732,9/26/2016,FB,128.270004
733,10/3/2016,FB,128.990005
