date,close
12/2/2009,196.23
12/3/2009,196.48
12/4/2009,193.32
12/7/2009,188.95
12/8/2009,189.87
12/9/2009,197.8
12/9/2009,196.43
12/10/2009,194.67
12/13/2009,196.98
12/14/2009,194.17
12/15/2009,195.03
12/16/2009,191.86
12/17/2009,195.43
12/20/2009,198.23
12/21/2009,200.36
12/22/2009,202.1
12/23/2009,209.04
12/24/2009,209.04
12/27/2009,211.61
12/28/2009,209.1
12/29/2009,211.64
12/30/2009,210.73
1/1/2010,210.73
1/4/2010,214.01
1/5/2010,214.38
1/6/2010,210.97
1/7/2010,210.58
1/8/2010,211.98
1/10/2010,210.11
1/11/2010,207.72
1/12/2010,210.65
1/13/2010,209.43
1/14/2010,205.93
1/17/2010,205.93
1/18/2010,215.04
1/19/2010,211.72
1/20/2010,208.07
1/21/2010,197.75
1/24/2010,203.08
1/25/2010,205.94
1/26/2010,207.88
1/27/2010,199.29
1/28/2010,192.06
2/1/2010,194.73
2/2/2010,195.86
2/3/2010,199.23
2/4/2010,192.05
2/5/2010,195.46
2/8/2010,194.12
2/9/2010,196.19
2/9/2010,195.12
2/10/2010,198.67
2/11/2010,200.38
2/14/2010,200.38
2/15/2010,203.4
2/16/2010,202.55
2/17/2010,202.93
2/18/2010,201.67
2/21/2010,200.42
2/22/2010,197.06
2/23/2010,200.66
2/24/2010,202
2/25/2010,204.62
3/1/2010,208.99
3/2/2010,208.85
3/3/2010,209.33
3/4/2010,210.71
3/5/2010,218.95
3/8/2010,219.08
3/9/2010,223.02
3/9/2010,224.84
3/10/2010,225.5
3/11/2010,226.6
3/14/2010,223.84
3/15/2010,224.45
3/16/2010,224.12
3/17/2010,224.65
3/18/2010,222.25
3/21/2010,224.75
3/22/2010,228.36
3/23/2010,229.37
3/24/2010,226.65
3/25/2010,230.9
3/28/2010,232.39
3/29/2010,235.84
3/30/2010,235
4/1/2010,235.97
4/2/2010,235.97
4/5/2010,238.49
4/6/2010,239.54
4/7/2010,240.6
4/8/2010,239.95
4/9/2010,241.79
4/11/2010,242.29
4/12/2010,242.43
4/13/2010,245.69
4/14/2010,248.92
4/15/2010,247.4
4/18/2010,247.07
4/19/2010,244.59
4/20/2010,259.22
4/21/2010,266.47
4/22/2010,270.83
4/25/2010,269.5
4/26/2010,262.04
4/27/2010,261.6
4/28/2010,268.64
4/29/2010,261.09
5/3/2010,266.35
5/4/2010,258.68
5/5/2010,255.98
5/6/2010,246.25
5/7/2010,235.86
5/9/2010,253.99
5/10/2010,256.52
5/11/2010,262.09
5/12/2010,258.36
5/13/2010,253.82
5/16/2010,254.22
5/17/2010,252.36
5/18/2010,248.34
5/19/2010,237.76
5/20/2010,242.32
5/23/2010,246.76
5/24/2010,245.22
5/25/2010,244.11
5/26/2010,253.35
5/27/2010,256.88
5/30/2010,256.88
6/1/2010,260.83
6/2/2010,263.95
6/3/2010,263.12
6/4/2010,255.96
6/7/2010,250.94
6/8/2010,249.33
6/9/2010,243.2
6/9/2010,250.51
6/10/2010,253.51
6/13/2010,254.28
6/14/2010,259.69
6/15/2010,267.25
6/16/2010,271.87
6/17/2010,274.07
6/20/2010,270.17
6/21/2010,273.85
6/22/2010,270.97
6/23/2010,269
6/24/2010,266.7
6/27/2010,268.3
6/28/2010,256.17
6/29/2010,251.53
7/1/2010,248.48
7/2/2010,246.94
7/5/2010,246.94
7/6/2010,248.63
7/7/2010,258.66
7/8/2010,258.09
7/9/2010,259.62
7/11/2010,257.28
7/12/2010,251.8
7/13/2010,252.73
7/14/2010,251.45
7/15/2010,249.9
7/18/2010,245.58
7/19/2010,251.89
7/20/2010,254.24
7/21/2010,259.02
7/22/2010,259.94
7/25/2010,259.28
7/26/2010,264.08
7/27/2010,260.96
7/28/2010,258.11
7/29/2010,257.25
8/2/2010,261.85
8/3/2010,261.93
8/4/2010,262.98
8/5/2010,261.7
8/6/2010,260.09
8/9/2010,261.75
8/9/2010,259.41
8/10/2010,250.19
8/11/2010,251.79
8/12/2010,249.1
8/15/2010,247.64
8/16/2010,251.97
8/17/2010,253.07
8/18/2010,249.88
8/19/2010,249.64
8/22/2010,245.8
8/23/2010,239.93
8/24/2010,242.89
8/25/2010,240.28
8/26/2010,241.62
8/29/2010,242.5
8/30/2010,243.1
9/1/2010,250.33
9/2/2010,252.17
9/3/2010,258.77
9/6/2010,258.77
9/7/2010,257.81
9/8/2010,262.92
9/9/2010,263.07
9/9/2010,263.41
9/12/2010,267.04
9/13/2010,268.06
9/14/2010,270.22
9/15/2010,276.57
9/16/2010,275.37
9/19/2010,283.23
9/20/2010,283.77
9/21/2010,287.75
9/22/2010,288.92
9/23/2010,292.32
9/26/2010,291.16
9/27/2010,286.86
9/28/2010,287.37
9/29/2010,283.75
10/1/2010,282.52
10/4/2010,278.64
10/5/2010,288.94
10/6/2010,289.19
10/7/2010,289.22
10/8/2010,294.07
10/10/2010,295.36
10/11/2010,298.54
10/12/2010,300.14
10/13/2010,302.31
10/14/2010,314.74
10/17/2010,318
10/18/2010,309.49
10/19/2010,310.53
10/20/2010,309.52
10/21/2010,307.47
10/24/2010,308.84
10/25/2010,308.05
10/26/2010,307.83
10/27/2010,305.24
10/28/2010,300.98
11/1/2010,304.18
11/2/2010,309.36
11/3/2010,312.8
11/4/2010,318.27
11/5/2010,317.13
11/8/2010,318.62
11/9/2010,316.08
11/9/2010,318.03
11/10/2010,316.66
11/11/2010,308.03
11/14/2010,307.04
11/15/2010,301.59
11/16/2010,300.5
11/17/2010,308.43
11/18/2010,306.73
11/21/2010,313.36
11/22/2010,308.73
11/23/2010,314.8
11/25/2010,315
11/28/2010,316.87
11/29/2010,311.15
12/1/2010,316.4
12/2/2010,318.15
12/3/2010,317.44
12/6/2010,320.15
12/7/2010,318.21
12/8/2010,321.01
12/9/2010,319.76
12/9/2010,320.56
12/12/2010,321.67
12/13/2010,320.29
12/14/2010,320.36
12/15/2010,321.25
12/16/2010,320.61
12/19/2010,322.21
12/20/2010,324.2
12/21/2010,325.16
12/22/2010,323.6
12/26/2010,324.68
12/27/2010,325.47
12/28/2010,325.29
12/29/2010,323.66
12/30/2010,322.56
1/3/2011,329.57
1/4/2011,331.29
1/5/2011,334
1/6/2011,333.73
1/7/2011,336.12
1/9/2011,342.46
1/10/2011,341.64
1/11/2011,344.42
1/12/2011,345.68
1/13/2011,348.48
1/17/2011,340.65
1/18/2011,338.84
1/19/2011,332.68
1/20/2011,326.72
1/23/2011,337.45
1/24/2011,341.4
1/25/2011,343.85
1/26/2011,343.21
1/27/2011,336.1
1/30/2011,339.32
2/1/2011,345.03
2/2/2011,344.32
2/3/2011,343.44
2/4/2011,346.5
2/7/2011,351.88
2/8/2011,355.2
2/9/2011,358.16
2/9/2011,354.54
2/10/2011,356.85
2/13/2011,359.18
2/14/2011,359.9
2/15/2011,363.13
2/16/2011,358.3
2/17/2011,350.56
2/21/2011,338.61
2/22/2011,342.62
2/23/2011,342.88
2/24/2011,348.16
2/27/2011,353.21
3/1/2011,349.31
3/2/2011,352.12
3/3/2011,359.56
3/4/2011,360
3/7/2011,355.36
3/8/2011,355.76
3/9/2011,352.47
3/9/2011,346.67
3/10/2011,351.99
3/13/2011,353.56
3/14/2011,345.43
3/15/2011,330.01
3/16/2011,334.64
3/17/2011,330.67
3/20/2011,339.3
3/21/2011,341.2
3/22/2011,339.19
3/23/2011,344.97
3/24/2011,351.54
3/27/2011,350.44
3/28/2011,350.96
3/29/2011,348.63
3/30/2011,348.51
4/1/2011,344.56
4/4/2011,341.19
4/5/2011,338.89
4/6/2011,338.04
4/7/2011,338.08
4/8/2011,335.06
4/10/2011,330.8
4/11/2011,332.4
4/12/2011,336.13
4/13/2011,332.42
4/14/2011,327.46
4/17/2011,331.85
4/18/2011,337.86
4/19/2011,342.41
4/20/2011,350.7
4/24/2011,353.01
4/25/2011,350.42
4/26/2011,350.15
4/27/2011,346.75
4/28/2011,350.13
5/2/2011,346.28
5/3/2011,348.2
5/4/2011,349.57
5/5/2011,346.75
5/6/2011,346.66
5/9/2011,347.6
5/9/2011,349.45
5/10/2011,347.23
5/11/2011,346.57
5/12/2011,340.5
5/15/2011,333.3
5/16/2011,336.14
5/17/2011,339.87
5/18/2011,340.53
5/19/2011,335.22
5/22/2011,334.4
5/23/2011,332.19
5/24/2011,336.78
5/25/2011,335
5/26/2011,337.41
5/30/2011,347.83
6/1/2011,345.51
6/2/2011,346.1
6/3/2011,343.44
6/6/2011,338.04
6/7/2011,332.04
6/8/2011,332.24
6/9/2011,331.49
6/9/2011,325.9
6/12/2011,326.6
